L1,L2,shared acts,total acts,sim min,sim q10 (shifted <=),sim median,sim q90 (stable >=),sim max,# shifted,# stable,EMSC shifted,EMSC stable,EMSC delta,stable > shifted,win rate %,# failed
BPIC11_age_low,BPIC11_age_high,367,624,-0.1073476821184158,0.3799507617950439,0.6741407513618469,0.952585220336914,0.9934695959091188,37,37,0.2529279279279279,0.7718433997553885,0.5189154718274607,1368/1369,99.92695398100804,0
BPIC15_M1,BPIC15_M2,262,331,0.1897551268339157,0.4678387343883514,0.7791764736175537,0.9488257765769958,0.981073260307312,27,27,0.2669856157751696,0.582330186021167,0.3153445702459974,698/729,95.74759945130316,0
BPIC15_M1,BPIC15_M3,250,316,0.1231849193572998,0.4998578429222107,0.7941248416900635,0.9496281147003174,0.9859219789505004,25,25,0.2807648927416084,0.653941396328115,0.3731765035865065,605/625,96.8,0
BPIC15_M1,BPIC15_M4,256,305,0.0109777990728616,0.483980119228363,0.7858151793479919,0.9283222556114196,0.9799437522888184,26,26,0.3047673751974827,0.5486837019976887,0.2439163268002059,594/676,87.8698224852071,0
BPIC15_M1,BPIC15_M5,253,321,0.2174101620912552,0.5023461580276489,0.7893173694610596,0.93628591299057,0.976842999458313,26,26,0.3176874521504922,0.5516531189273299,0.2339656667768377,608/676,89.94082840236686,0
BPIC15_M2,BPIC15_M3,256,325,0.106125995516777,0.4543178379535675,0.7825021743774414,0.943017601966858,0.9786338806152344,26,26,0.2906230126826775,0.5652420034267636,0.2746189907440861,619/676,91.5680473372781,0
BPIC15_M2,BPIC15_M4,258,318,0.0080460831522941,0.4807703793048858,0.7762078642845154,0.9396161437034608,0.9894514679908752,26,26,0.255020375728153,0.5649687057226178,0.3099483299944647,660/676,97.63313609467455,0
BPIC15_M2,BPIC15_M5,252,337,0.157369315624237,0.4882569313049316,0.8148254156112671,0.9500606656074524,0.9832171201705932,26,26,0.2844110839975711,0.5933495295811793,0.3089384455836081,657/676,97.18934911242604,0
BPIC15_M3,BPIC15_M4,257,292,0.1637926548719406,0.4668377935886383,0.7808138132095337,0.9361189603805542,0.9752019643783568,26,26,0.2596736677652942,0.5621401038112682,0.302466436045974,630/676,93.19526627218934,0
BPIC15_M3,BPIC15_M5,254,308,0.1631933450698852,0.4339882433414459,0.7690978646278381,0.9376808404922484,0.980886459350586,26,26,0.262546072071751,0.5705864747944004,0.3080404027226493,664/676,98.22485207100593,0
BPIC15_M4,BPIC15_M5,251,306,-0.071226067841053,0.4970789551734924,0.7752190828323364,0.933758556842804,0.9809696674346924,26,26,0.3023388770351954,0.5696332148211727,0.2672943377859773,625/676,92.45562130177515,0
BPIC18_D4e,BPIC18_D6b,40,41,0.0884015783667564,0.8270118236541748,0.9171332120895386,0.9655385613441468,0.9829169511795044,4,4,0.707145489753984,0.895490301982884,0.1883448122289001,12/16,75.0,0
BPIC18_D4e,BPIC18_Dd4,40,41,0.4855477511882782,0.6577991843223572,0.8855444192886353,0.9748083353042604,0.983936369419098,4,4,0.6143938713118413,0.9653826740710324,0.3509888027591912,16/16,100.0,0
BPIC18_D4e,BPIC18_De7,40,41,0.2499349862337112,0.633038341999054,0.8787575364112854,0.9650942087173462,0.9859238266944884,4,4,0.5340744531522593,0.945908401051438,0.4118339478991786,16/16,100.0,0
BPIC18_D6b,BPIC18_Dd4,41,41,0.2060647457838058,0.6296801567077637,0.8768245577812195,0.9634715914726256,0.9839141368865968,5,5,0.5505786482075975,0.9026289994034932,0.3520503511958958,24/25,96.0,0
BPIC18_D6b,BPIC18_De7,41,41,0.2813483476638794,0.6558111906051636,0.852184534072876,0.9672554135322572,0.9869546890258788,5,4,0.6186478093586701,0.9102615030381436,0.2916136936794733,19/20,95.0,1
BPIC18_Dd4,BPIC18_De7,41,41,0.3314836621284485,0.6174874305725098,0.8483880758285522,0.9470630884170532,0.9919166564941406,5,5,0.5496849985073117,0.9046865577148836,0.355001559207572,24/25,96.0,0
