L1,L2,runs,shared acts,total acts,sim dist mean,sim dist max,spearman mean,spearman min
BPIC11_age_low,BPIC11_age_high,10,367,624,0.0519936122000217,0.0571422688663005,0.9569351896988176,0.9497959316451124
BPIC15_M1,BPIC15_M2,10,262,331,0.0491104610264301,0.0542524121701717,0.950452277352392,0.9426678556927962
BPIC15_M1,BPIC15_M3,10,250,316,0.0442321971058845,0.0506131276488304,0.9502530621823284,0.9381450583209332
BPIC15_M1,BPIC15_M4,10,256,305,0.0480819605290889,0.053170908242464,0.93858401045243,0.923659590295262
BPIC15_M1,BPIC15_M5,10,253,321,0.0469761677086353,0.0545064881443977,0.944504417185006,0.9304054384506284
BPIC15_M2,BPIC15_M3,10,256,325,0.0478702373802661,0.0551882311701774,0.9502052974237684,0.9396751258869308
BPIC15_M2,BPIC15_M4,10,258,318,0.0499316863715648,0.0564398504793643,0.9449445690098404,0.9352054541100135
BPIC15_M2,BPIC15_M5,10,252,337,0.0463265106081962,0.0518104061484336,0.9548532598593228,0.9418310196068728
BPIC15_M3,BPIC15_M4,10,257,292,0.0502028465270996,0.0557593777775764,0.9471872203621592,0.9369132318342231
BPIC15_M3,BPIC15_M5,10,254,308,0.0507070608437061,0.0566159635782241,0.9416737078988122,0.9303322611295304
BPIC15_M4,BPIC15_M5,10,251,306,0.0491577573120594,0.0539097040891647,0.9459113387718964,0.933774995257067
BPIC18_D4e,BPIC18_D6b,10,40,41,0.0214773472398519,0.0317969992756843,0.9301021471753178,0.901125703564728
BPIC18_D4e,BPIC18_Dd4,10,40,41,0.0240972023457288,0.0305836554616689,0.9605086512403584,0.9273921200750468
BPIC18_D4e,BPIC18_De7,10,40,41,0.0261467266827821,0.0355550721287727,0.9497310819262038,0.9142589118198874
BPIC18_D6b,BPIC18_Dd4,10,41,41,0.0266558416187763,0.0348532944917678,0.9637591947348044,0.9367595818815332
BPIC18_D6b,BPIC18_De7,10,41,41,0.025954570621252,0.0336474254727363,0.9561517615176152,0.927177700348432
BPIC18_Dd4,BPIC18_De7,10,41,41,0.0291419271379709,0.039037175476551,0.945187766163376,0.909233449477352
