case:concept:name,concept:name,time:timestamp,case:in_time,case:finished,case:incomplete_data,case:transferred,case:entry_year,case:gender,case:nationality,case:preference,case:special_access,case:admission_type,case:high_school_graduation_year,case:high_school_grades,case:high_school_rank,case:language_score,case:math_score,case:social_sciences_score,case:natural_sciences_score,case:high_school_plan_type,case:high_school_type_program,case:high_school_type_funding,case:region,case:city,case:district
FING-10014,Alg 1 (pass),2018/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Phy 1 (pass),2018/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,IPD Workshop (pass),2018/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Intro Eng (pass),2018/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Std Methods (pass),2018/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,IPD Workshop (pass),2018/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Std Methods (pass),2018/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Cal 1 (fail),2018/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Alg 1 (pass),2018/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Phy 1 (pass),2018/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Intro Eng (pass),2018/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Cal 1 (pass),2018/2,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Alg 2 (pass),2018/2,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Phy 2 (pass),2018/2,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Chemistry (pass),2018/2,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Eff Comm (pass),2018/2,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Fund Progr (fail),2018/2,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Phy 2 (pass),2018/2,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Eff Comm (pass),2018/2,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Alg 2 (pass),2018/2,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Chemistry (pass),2018/2,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Cal 1 (pass),2018/2,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Cal 2 (pass),2019/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Fund Progr (pass),2019/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Eng 1 (pass),2019/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Fund Econ (pass),2019/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Cal 2 (pass),2019/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Eng 1 (pass),2019/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Fund Progr (pass),2019/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Fund Econ (pass),2019/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Elect & Mag (pass),2019/2,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Eng 2 (pass),2019/2,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Diff Ec & Num Meth (pass),2019/2,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Elect & Mag (pass),2019/2,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Progr Methd (fail),2019/2,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Eng 2 (pass),2019/2,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Stat Analys (pass),2020/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Progr Methd (pass),2020/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Comp Struc (pass),2020/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
FING-10014,Eng 3 (pass),2020/1,False,False,True,yes,2022,2,,,,,,,,,,,,,,,,,
