case:concept:name,concept:name,time:timestamp,case:in_time,case:finished,case:incomplete_data,case:transferred,case:entry_year,case:gender,case:nationality,case:preference,case:special_access,case:admission_type,case:high_school_graduation_year,case:high_school_grades,case:high_school_rank,case:language_score,case:math_score,case:social_sciences_score,case:natural_sciences_score,case:high_school_plan_type,case:high_school_type_program,case:high_school_type_funding,case:region,case:city,case:district
FING-10092,Std Methods (pass),2018/1,False,True,False,no,2018,2,chilean,1,,1,2017,high,medium,high,high,,medium,2,0,4,5,57,14
FING-10092,Alg 1 (fail),2018/1,False,True,False,no,2018,2,chilean,1,,1,2017,high,medium,high,high,,medium,2,0,4,5,57,14
FING-10092,Phy 1 (pass),2018/1,False,True,False,no,2018,2,chilean,1,,1,2017,high,medium,high,high,,medium,2,0,4,5,57,14
FING-10092,Intro Eng (pass),2018/1,False,True,False,no,2018,2,chilean,1,,1,2017,high,medium,high,high,,medium,2,0,4,5,57,14
FING-10092,Cal 1 (fail),2018/1,False,True,False,no,2018,2,chilean,1,,1,2017,high,medium,high,high,,medium,2,0,4,5,57,14
FING-10092,IPD Workshop (pass),2018/1,False,True,False,no,2018,2,chilean,1,,1,2017,high,medium,high,high,,medium,2,0,4,5,57,14
FING-10092,Phy 2 (fail),2018/2,False,True,False,no,2018,2,chilean,1,,1,2017,high,medium,high,high,,medium,2,0,4,5,57,14
FING-10092,Chemistry (fail),2018/2,False,True,False,no,2018,2,chilean,1,,1,2017,high,medium,high,high,,medium,2,0,4,5,57,14
FING-10092,Eff Comm (pass),2018/2,False,True,False,no,2018,2,chilean,1,,1,2017,high,medium,high,high,,medium,2,0,4,5,57,14
FING-10092,Cal 1 (pass),2018/2,False,True,False,no,2018,2,chilean,1,,1,2017,high,medium,high,high,,medium,2,0,4,5,57,14
FING-10092,Alg 1 (pass),2018/2,False,True,False,no,2018,2,chilean,1,,1,2017,high,medium,high,high,,medium,2,0,4,5,57,14
FING-10092,Cal 2 (fail),2019/1,False,True,False,no,2018,2,chilean,1,,1,2017,high,medium,high,high,,medium,2,0,4,5,57,14
FING-10092,Alg 2 (pass),2019/1,False,True,False,no,2018,2,chilean,1,,1,2017,high,medium,high,high,,medium,2,0,4,5,57,14
FING-10092,Fund Progr (pass),2019/1,False,True,False,no,2018,2,chilean,1,,1,2017,high,medium,high,high,,medium,2,0,4,5,57,14
FING-10092,Phy 2 (pass),2019/1,False,True,False,no,2018,2,chilean,1,,1,2017,high,medium,high,high,,medium,2,0,4,5,57,14
FING-10092,Chemistry (pass),2019/1,False,True,False,no,2018,2,chilean,1,,1,2017,high,medium,high,high,,medium,2,0,4,5,57,14
FING-10092,Eng 1 (pass),2019/2,False,True,False,no,2018,2,chilean,1,,1,2017,high,medium,high,high,,medium,2,0,4,5,57,14
FING-10092,Progr Methd (pass),2019/2,False,True,False,no,2018,2,chilean,1,,1,2017,high,medium,high,high,,medium,2,0,4,5,57,14
FING-10092,Inf & Soc (pass),2019/2,False,True,False,no,2018,2,chilean,1,,1,2017,high,medium,high,high,,medium,2,0,4,5,57,14
