student_ID,program_number,entry_year,entry_semester,course,theory,practice,laboratory,total_hours,year,semester,situation,gender,final_grade,lecturer,finished,in_time,in_time_with_pauses,incomplete_data,course_intended_semester,elapsed_semesters,in_time_considering_transfers
FING-19416,1353,2012,1,Cal 1,6,2,0,8,2012,1,A,2,4.0,8f76c3c9624622bf49eaf281bc72c03859c96fa850b904deafda3adcacf92130,False,False,False,False,1.0,,
FING-25361,1353,2012,1,Cal 1,6,2,0,8,2012,1,R,2,3.2,8f76c3c9624622bf49eaf281bc72c03859c96fa850b904deafda3adcacf92130,True,False,False,False,1.0,12,False
FING-25021,1353,2012,1,Cal 1,6,2,0,8,2012,1,R,2,3.5,8f76c3c9624622bf49eaf281bc72c03859c96fa850b904deafda3adcacf92130,True,False,False,False,1.0,11,False
FING-24110,1353,2012,1,Alg 1,6,2,0,8,2012,1,R,1,2.3,8f76c3c9624622bf49eaf281bc72c03859c96fa850b904deafda3adcacf92130,False,False,False,False,1.0,,
FING-17705,1353,2012,1,Alg 1,6,2,0,8,2012,1,R,2,3.1,8f76c3c9624622bf49eaf281bc72c03859c96fa850b904deafda3adcacf92130,False,False,False,False,1.0,,
FING-23051,1353,2012,1,Alg 1,6,2,0,8,2012,1,R,2,3.3,f51f50b6d923093ff466423a01271d69d3ed7645a90aef7bb29b284cbb1758d5,False,False,False,False,1.0,,
FING-22773,1353,2012,1,Alg 1,6,2,0,8,2012,1,R,2,1.9,f51f50b6d923093ff466423a01271d69d3ed7645a90aef7bb29b284cbb1758d5,False,False,False,False,1.0,,
FING-15473,1353,2012,1,Alg 1,6,2,0,8,2012,1,A,2,4.3,f51f50b6d923093ff466423a01271d69d3ed7645a90aef7bb29b284cbb1758d5,False,False,False,False,1.0,,
FING-23051,1353,2012,1,Cal 1,6,2,0,8,2012,1,R,2,3.4,0154fe4ae37826fd1f2ceb729ebea5196b8b604e160370507a698fdf6dcb5abb,False,False,False,False,1.0,,
FING-22773,1353,2012,1,Cal 1,6,2,0,8,2012,1,R,2,2.0,0154fe4ae37826fd1f2ceb729ebea5196b8b604e160370507a698fdf6dcb5abb,False,False,False,False,1.0,,
