student_ID,program_number_in_progression_database,program_number_in_students_attributes_database,entry_year,entry_semester,gender,finished,in_time,in_time_with_pauses,incomplete_data,chilean,preference,entry_ranking,special_access,high_school_graduation_year,admission_type,high_school_grades_normalized,high_school_rank,score_in_language_admission_test,score_in_math_admission_test,score_in_social_sciences_admission_test,score_in_natural_sciences_admission_test,high_school_plan_type,region,district,city,high_school_type_program,high_school_type_funding
FING-19416,1353,,2012,1,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-25361,1353,,2012,1,2,True,False,False,False,,,,,,,,,,,,,,,,,,
FING-25021,1353,,2012,1,2,True,False,False,False,,,,,,,,,,,,,,,,,,
FING-24110,1353,,2012,1,1,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-17705,1353,,2012,1,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-23051,1353,,2012,1,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-22773,1353,,2012,1,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-15473,1353,,2012,1,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-16423,1353,1353.0,2013,1,2,False,False,False,False,1.0,1.0,1.0,,2004.0,1,0.85,0.85,0.79,0.86,,0.93,,13,72,114,0,2
FING-24325,1353,1353.0,2013,1,2,False,False,False,False,1.0,1.0,37.0,1,2012.0,1,0.68,0.76,0.78,0.77,,0.73,,13,106,0,0,4
FING-21804,1353,1353.0,2013,1,1,False,False,False,False,1.0,1.0,21.0,,2011.0,1,0.8,0.89,0.73,0.77,,0.56,,13,102,114,0,3
FING-21509,1353,,2013,1,2,True,False,False,False,,,,,,,,,,,,,,,,,,
FING-1532,1353,,2013,1,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-24332,1353,,2013,1,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-16811,1353,,2013,1,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-24583,1353,1353.0,2013,1,2,True,False,False,False,1.0,1.0,17.0,,2011.0,1,0.78,0.86,0.73,0.73,,0.72,,13,113,79,0,3
FING-10658,1353,1363.0,2013,1,2,False,False,False,False,1.0,2.0,12.0,1,2012.0,1,0.8,0.98,0.75,0.69,,0.51,,13,84,114,5,3
FING-24853,1353,1353.0,2013,1,2,False,False,False,False,1.0,1.0,11.0,,2007.0,1,0.73,0.73,0.84,0.79,,0.77,,13,102,114,0,3
FING-20364,1353,1353.0,2013,1,2,False,False,False,False,1.0,2.0,29.0,,2010.0,1,0.75,0.86,0.73,0.77,0.66,0.61,,13,92,61,5,3
FING-22200,1353,1353.0,2013,1,2,True,False,False,False,1.0,2.0,44.0,,2011.0,1,0.75,0.88,0.76,0.7,0.72,0.66,,13,95,85,5,3
FING-16693,1353,1363.0,2013,1,2,True,False,False,False,1.0,1.0,32.0,1,2012.0,1,0.8,0.87,0.73,0.77,,0.69,,13,90,114,0,3
FING-17758,1353,,2013,1,1,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-17998,1353,1363.0,2013,1,2,False,False,False,False,1.0,1.0,93.0,,2012.0,1,0.7,0.7,0.72,0.78,,0.8,,13,75,114,0,2
FING-21465,1353,1353.0,2013,1,2,False,False,False,False,1.0,3.0,1.0,1,2012.0,1,0.88,0.88,0.61,0.68,0.53,0.57,,13,108,8,0,3
FING-23852,1353,,2012,1,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-25500,1353,,2012,1,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-27990,1353,1353.0,2013,1,2,False,False,False,False,1.0,3.0,5.0,1,2012.0,1,0.78,0.89,0.64,0.7,0.48,0.53,,13,98,92,5,3
FING-23841,1353,1353.0,2013,1,2,False,False,False,False,1.0,1.0,10.0,,2009.0,1,0.73,0.73,0.78,0.8,,0.79,,13,79,114,0,2
FING-3985,1353,1353.0,2013,1,2,False,False,False,False,1.0,1.0,40.0,,2011.0,1,0.75,0.78,0.62,0.72,,0.76,,6,24,42,0,4
FING-19464,1353,1363.0,2013,1,2,False,False,False,False,1.0,1.0,16.0,1,2012.0,2,0.83,0.86,0.75,0.8,0.62,0.69,,13,105,100,0,3
FING-24758,1353,1363.0,2013,1,2,False,False,False,False,1.0,2.0,7.0,1,2012.0,1,0.78,0.84,0.75,0.71,0.75,0.63,,13,102,114,0,3
FING-17495,1353,1363.0,2013,1,2,False,False,False,False,1.0,3.0,27.0,,2012.0,1,0.75,0.82,0.75,0.81,,0.74,,13,78,114,0,3
FING-16868,1353,,2013,1,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-25965,1353,,2013,2,2,True,True,False,False,,,,,,,,,,,,,,,,,,
FING-23404,1353,,2012,1,2,True,True,True,False,,,,,,,,,,,,,,,,,,
FING-16810,1353,,2012,1,2,True,False,False,False,,,,,,,,,,,,,,,,,,
FING-15462,1353,,2012,1,2,True,False,True,False,,,,,,,,,,,,,,,,,,
FING-22424,1353,,2012,1,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-19516,1353,,2012,1,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-1775,1353,,2012,2,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-21750,1353,,2012,1,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-1799,1353,,2014,2,2,True,True,False,False,,,,,,,,,,,,,,,,,,
FING-1802,1353,,2014,2,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-17600,1353,1353.0,2013,1,2,False,False,False,False,1.0,1.0,30.0,,2011.0,1,0.7,0.7,0.73,0.76,,0.76,,13,93,114,0,2
FING-20914,1353,,2013,1,2,True,True,True,False,,,,,,,,,,,,,,,,,,
FING-16399,1353,1353.0,2013,1,2,False,False,False,False,1.0,1.0,2.0,1,2012.0,1,0.78,0.82,0.63,0.72,,0.6,,6,37,110,0,4
FING-16742,1353,,2013,1,2,True,False,False,False,,,,,,,,,,,,,,,,,,
FING-16134,1353,,2013,1,1,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-25910,1353,,2013,2,2,True,True,True,False,,,,,,,,,,,,,,,,,,
FING-20399,1353,,2013,1,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-24950,1353,1353.0,2013,1,1,True,True,True,False,1.0,1.0,39.0,,2009.0,1,0.7,0.74,0.69,0.78,,0.72,,13,80,114,0,3
FING-10656,1353,1353.0,2013,1,2,False,False,False,False,1.0,3.0,28.0,,2009.0,1,0.68,0.68,0.76,0.79,0.78,0.76,,13,88,114,0,4
FING-17766,1353,,2012,1,2,True,False,False,False,,,,,,,,,,,,,,,,,,
FING-24720,1353,,2012,1,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-674,1353,1353.0,2014,1,2,False,False,False,False,1.0,1.0,1.0,,2011.0,1,0.75,0.95,0.74,0.75,,0.77,,13,91,127,5,3
FING-665,1353,1353.0,2014,1,2,False,False,False,False,1.0,1.0,11.0,,2012.0,1,0.77,0.83,0.72,0.77,,0.81,,13,84,114,0,4
FING-4313,1353,,2015,1,2,True,True,False,False,,,,,,,,,,,,,,,,,,
FING-673,1353,,2014,1,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-17324,1353,1353.0,2013,1,2,True,False,False,False,1.0,1.0,2.0,,2011.0,1,0.9,0.97,0.69,0.78,,0.73,,6,29,135,0,4
FING-25074,1353,1353.0,2013,1,2,True,False,False,False,1.0,1.0,27.0,,2012.0,1,0.75,0.77,0.64,0.77,,0.71,,13,107,126,0,2
FING-12477,1353,1363.0,2013,1,2,False,False,False,False,1.0,2.0,106.0,,2012.0,1,0.73,0.81,0.72,0.75,,0.74,,13,68,114,0,3
FING-1784,1353,,2014,1,1,True,False,True,False,,,,,,,,,,,,,,,,,,
FING-17602,1353,1353.0,2013,1,1,False,False,False,False,1.0,1.0,19.0,,2010.0,1,0.85,0.96,0.72,0.68,0.71,0.62,,13,105,100,0,4
FING-19613,1353,1363.0,2013,1,1,True,False,False,False,1.0,1.0,88.0,1,2012.0,1,0.8,0.98,0.69,0.73,,0.6,,13,105,100,0,3
FING-4309,1353,,2015,1,2,True,True,False,False,,,,,,,,,,,,,,,,,,
FING-3452,1353,1353.0,2015,1,2,False,False,False,False,1.0,3.0,29.0,,2013.0,1,0.77,0.86,0.67,0.73,,0.7,1,13,98,114,0,4
FING-3438,1353,1353.0,2015,1,2,True,False,False,False,1.0,1.0,21.0,,2014.0,1,0.75,0.8,0.71,0.8,,0.75,1,13,95,85,0,4
FING-3423,1353,1353.0,2015,1,2,False,False,False,False,1.0,2.0,40.0,1,2014.0,1,0.76,0.85,0.67,0.71,,0.72,1,13,87,114,0,3
FING-3967,1353,1353.0,2015,1,2,False,False,False,False,1.0,1.0,30.0,,2014.0,1,0.77,0.82,0.79,0.74,0.62,0.68,1,6,33,54,0,3
FING-3422,1353,1353.0,2015,1,2,True,False,False,False,1.0,2.0,20.0,,2014.0,1,0.77,0.88,0.77,0.72,,0.63,1,13,92,62,0,4
FING-3449,1353,1353.0,2015,1,2,False,False,False,False,1.0,1.0,38.0,1,2014.0,1,0.8,0.89,0.62,0.7,,0.62,2,13,90,114,0,3
FING-3442,1353,1353.0,2015,1,2,False,False,False,False,1.0,1.0,8.0,1,2014.0,1,0.81,0.92,0.75,0.8,,0.75,1,13,112,131,0,3
FING-26111,1353,,2014,2,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-25663,1353,,2015,2,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-684,1353,1353.0,2014,1,2,True,False,False,False,1.0,2.0,41.0,,2012.0,1,0.71,0.75,0.72,0.79,,0.77,,13,99,114,0,3
FING-4326,1353,,2015,2,2,True,False,False,False,,,,,,,,,,,,,,,,,,
FING-153,1353,,2016,2,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-217,1353,,2016,2,2,True,True,False,False,,,,,,,,,,,,,,,,,,
FING-27464,1353,,2016,2,2,False,False,False,False,,,,,,,,,,,,,,,,,,
FING-3435,1353,,2015,1,2,True,False,False,False,,,,,,,,,,,,,,,,,,
FING-18672,1353,,2016,1,2,False,False,False,False,,,,,,,,,,,,,,,,,,
