attribute,value,cosine_similarity,freq on-time,freq late
transferred,no,0.7296638488769531,26,87
transferred,yes,0.8214926719665527,1,33
entry_year,2012,0.7181837558746338,2,6
entry_year,2013,0.7820231914520264,4,12
entry_year,2014,0.7661243081092834,3,14
entry_year,2015,0.8238967657089233,6,22
entry_year,2016,0.7977877855300903,4,24
entry_year,2017,0.9932347536087036,0,21
entry_year,2018,0.8561207056045532,5,17
entry_year,2019,0.7831727266311646,3,4
gender,1,0.8757149577140808,5,16
gender,2,0.7986262440681458,22,104
nationality,chilean,0.23239192366600037,17,38
nationality,unknown,,10,82
preference,1,0.4408321976661682,10,23
preference,2,0.5514101982116699,3,9
preference,3,0.6192716956138611,2,3
preference,4,0.4046597480773926,2,2
preference,5,0.9960628151893616,0,1
preference,unknown,,10,82
special_access,academic excellence,0.2747671604156494,4,10
special_access,unknown,,23,110
admission_type,1,0.6265382766723633,15,34
admission_type,2,0.7399219870567322,1,3
admission_type,7,0.9947488307952881,0,1
admission_type,8,0.9827433824539185,1,0
admission_type,unknown,,10,82
high_school_graduation_year,2009,0.9194605350494385,2,0
high_school_graduation_year,2011,0.8210954666137695,2,4
high_school_graduation_year,2012,0.9994094371795654,0,6
high_school_graduation_year,2013,0.5675837397575378,1,9
high_school_graduation_year,2014,0.7948362827301025,6,10
high_school_graduation_year,2015,0.4891706109046936,1,2
high_school_graduation_year,2016,0.7983934879302979,1,6
high_school_graduation_year,2017,0.6135545372962952,2,1
high_school_graduation_year,2018,0.9873224496841431,2,0
high_school_graduation_year,unknown,,10,82
high_school_grades,low,0.5542168021202087,6,16
high_school_grades,medium,0.26434969902038574,7,11
high_school_grades,high,0.4463294744491577,4,11
high_school_grades,unknown,,10,82
high_school_rank,low,0.6907073259353638,8,14
high_school_rank,medium,0.20393100380897522,5,11
high_school_rank,high,0.5918070077896118,4,13
high_school_rank,unknown,,10,82
language_score,low,0.9842672944068909,0,7
language_score,medium,0.4138531982898712,7,16
language_score,high,0.26677268743515015,10,15
language_score,unknown,,10,82
math_score,low,0.4990290105342865,1,5
math_score,medium,0.24079544842243195,4,21
math_score,high,0.544537365436554,12,12
math_score,unknown,,10,82
social_sciences_score,low,0.967767596244812,0,3
social_sciences_score,medium,0.43438923358917236,2,6
social_sciences_score,high,0.1319846212863922,2,2
social_sciences_score,unknown,,23,109
natural_sciences_score,low,0.34188804030418396,2,9
natural_sciences_score,medium,0.47589537501335144,5,19
natural_sciences_score,high,0.3762706518173218,10,10
natural_sciences_score,unknown,,10,82
high_school_plan_type,0,0.6258196234703064,1,2
high_school_plan_type,1,0.3658851385116577,9,13
high_school_plan_type,2,0.3413023352622986,2,2
high_school_plan_type,3,0.46785402297973633,2,4
high_school_plan_type,unknown,,13,99
high_school_type_program,0,0.575324535369873,15,32
high_school_type_program,4,0.9570413827896118,1,0
high_school_type_program,5,0.3228577971458435,1,5
high_school_type_program,7,0.9934800863265991,0,1
high_school_type_program,unknown,,10,82
high_school_type_funding,2,0.7112120389938354,2,4
high_school_type_funding,3,0.3772728443145752,13,26
high_school_type_funding,4,0.5004535913467407,2,8
high_school_type_funding,unknown,,10,82
region,13,0.1646079421043396,15,36
region,5,0.6778239607810974,1,1
region,6,0.788769006729126,1,1
region,unknown,,10,82
city,100,0.996756911277771,0,2
city,114,0.9130861759185791,11,24
city,124,0.992270827293396,0,1
city,126,0.9916092753410339,0,1
city,135,0.9929825067520142,0,1
city,36,0.9939237236976624,0,1
city,5,0.9954552054405212,0,1
city,57,0.9971809983253479,0,1
city,62,0.9916980266571045,0,1
city,66,0.9415655136108398,1,0
city,73,0.9985241889953613,0,1
city,79,0.9976028203964233,0,1
city,85,0.995303750038147,0,2
city,88,0.2262759953737259,3,1
city,94,0.9760916233062744,1,0
city,99,0.956658124923706,1,0
city,unknown,,10,82
district,102,0.6695307493209839,4,3
district,103,0.9918547868728638,0,1
district,105,0.9980292320251465,0,2
district,106,0.9886431694030762,0,1
district,107,0.9993648529052734,0,2
district,109,0.9758695363998413,1,0
district,112,0.9961815476417542,0,1
district,113,0.9912117719650269,0,1
district,14,0.9964430332183838,0,1
district,19,0.9244966506958008,1,0
district,23,0.987708330154419,1,0
district,29,0.9945535659790039,0,1
district,67,0.6135637164115906,1,4
district,68,0.9696128964424133,1,0
district,71,0.9986739158630371,0,1
district,75,0.9674463868141174,1,0
district,76,0.3510954678058624,2,1
district,78,0.9979488849639893,0,1
district,80,0.6981626749038696,2,1
district,83,0.9895830154418945,0,1
district,84,0.9965208172798157,0,1
district,86,0.9894399642944336,0,1
district,87,0.9495162963867188,1,0
district,89,0.9741688966751099,1,0
district,90,0.9959612488746643,0,1
district,92,0.998466968536377,0,4
district,93,0.8842666745185852,1,0
district,94,0.9991923570632935,0,1
district,95,0.9992821216583252,0,4
district,98,0.9982401132583618,0,3
district,99,0.998447835445404,0,1
district,unknown,,10,82
